City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
142,Longyan,CN,25.11,117.02,73.98,88,99,2.46,overcast clouds,0.0,0
143,Castro,BR,-24.79,-50.01,68.61,66,0,10.33,clear sky,0.0,0
144,Ajdabiya,LY,30.76,20.23,74.55,77,0,15.59,clear sky,0.0,0
145,Luderitz,NA,-26.65,15.16,55.4,82,0,13.87,clear sky,0.0,0
146,Cairns,AU,-16.92,145.77,69.8,88,75,9.17,light intensity drizzle,0.0,0
147,Faya,SA,18.39,42.45,80.6,57,24,3.36,few clouds,0.0,0
148,Dingle,PH,11.0,122.67,76.87,87,98,1.1,overcast clouds,0.0,0
149,Mariel,CU,22.99,-82.75,89.6,62,40,11.41,scattered clouds,0.0,0
150,Tezu,IN,27.92,96.17,75.4,87,100,2.91,moderate rain,3.07,0
151,Ukiah,US,39.15,-123.21,89.01,32,1,3.36,clear sky,0.0,0
152,Brae,GB,60.4,-1.35,53.6,87,100,11.41,overcast clouds,0.0,0
153,Beroroha,MG,-21.67,45.17,70.32,56,0,6.35,clear sky,0.0,0
154,Zyryanka,RU,65.75,150.85,63.82,65,0,4.38,clear sky,0.0,0
155,Lixourion,GR,38.2,20.43,78.8,65,0,9.17,clear sky,0.0,0
156,Mogadishu,SO,2.04,45.34,78.85,83,100,20.27,light rain,0.14,0
157,La Crosse,US,43.8,-91.24,82.99,61,20,6.93,few clouds,0.0,0
158,Roanoke Rapids,US,36.46,-77.65,91.4,62,40,9.17,scattered clouds,0.0,0
159,Alta Floresta,BR,-9.88,-56.09,95.0,32,75,5.82,broken clouds,0.0,0
160,Carnarvon,AU,-24.87,113.63,59.0,30,0,10.29,clear sky,0.0,0
161,Souillac,MU,-20.52,57.52,69.8,68,40,19.46,shower rain,0.0,0
162,Sungaipenuh,ID,-2.08,101.38,64.72,95,98,2.17,overcast clouds,0.0,0
163,Fairbanks,US,64.84,-147.72,63.0,58,1,4.54,clear sky,0.0,0
164,Saint-Joseph,RE,-21.37,55.62,68.0,77,20,8.05,few clouds,0.0,0
165,Shwebo,MM,22.57,95.7,78.08,87,100,13.53,overcast clouds,0.0,0
166,Diffa,NE,13.32,12.61,88.12,46,61,8.41,light rain,0.72,0
167,Kavaratti,IN,10.57,72.64,80.82,84,100,23.53,moderate rain,2.73,0
168,Yar-Sale,RU,66.83,70.83,52.07,62,100,7.14,overcast clouds,0.0,0
169,Noumea,NC,-22.28,166.46,66.99,93,76,2.24,broken clouds,0.0,0
170,Kota Kinabalu,MY,5.97,116.07,75.2,94,20,3.36,few clouds,0.0,0
171,Irawan,PH,9.8,118.69,78.62,81,99,1.12,overcast clouds,0.0,0
172,Provideniya,RU,64.38,-173.3,54.09,59,0,2.44,clear sky,0.0,0
173,Labuhan,ID,-6.88,112.21,76.21,85,35,7.36,scattered clouds,0.0,0
174,Mananara,MG,-16.17,49.77,69.75,87,64,8.1,light rain,0.87,0
175,Sesheke,ZM,-17.48,24.3,64.4,27,0,3.36,clear sky,0.0,0
176,Zasheyek,RU,67.41,32.55,52.74,84,4,11.18,clear sky,0.0,0
177,Longyearbyen,SJ,78.22,15.64,46.4,65,75,23.04,broken clouds,0.0,0
178,Broome,US,42.25,-75.83,82.0,69,75,10.29,light rain,0.76,0
179,Kohlu,PK,29.9,69.25,89.19,19,0,4.07,clear sky,0.0,0
180,Ilulissat,GL,69.22,-51.1,46.4,70,75,5.82,broken clouds,0.0,0
181,Hornepayne,CA,49.21,-84.77,63.84,67,100,7.49,overcast clouds,0.0,0
182,Tamandare,BR,-8.76,-35.1,77.31,80,6,10.0,light rain,0.19,0
183,Ercis,TR,39.03,43.36,73.4,46,75,19.46,light intensity shower rain,0.0,0
184,Manta,EC,-0.95,-80.73,75.06,80,96,8.57,overcast clouds,0.0,0
185,Tukrah,LY,32.53,20.58,75.42,70,0,7.45,clear sky,0.0,0
186,Thompson,CA,55.74,-97.86,60.8,72,90,4.7,overcast clouds,0.0,0
187,Baudh,IN,20.84,84.32,82.9,75,100,2.17,overcast clouds,0.0,0
188,Adeje,ES,28.12,-16.73,78.8,61,17,21.92,few clouds,0.0,0
189,Avera,US,33.19,-82.53,91.4,46,40,5.82,scattered clouds,0.0,0
190,Fort Oglethorpe,US,34.95,-85.26,91.0,40,20,11.41,few clouds,0.0,0
191,Hithadhoo,MV,-0.6,73.08,84.43,75,0,9.66,clear sky,0.0,0
192,Namibe,AO,-15.2,12.15,64.56,70,0,7.07,clear sky,0.0,0
193,Petropavl,KZ,54.88,69.16,71.04,87,2,9.51,clear sky,0.0,0
194,Hazebrouck,FR,50.72,2.54,66.99,66,0,1.99,clear sky,0.0,0
195,Bayir,TR,37.27,28.22,77.0,78,0,5.82,clear sky,0.0,0
196,Siuna,NI,13.73,-84.78,87.93,55,100,5.66,overcast clouds,0.0,0
197,San Andres,CO,12.58,-81.7,87.8,70,90,16.11,overcast clouds,0.0,0
198,Saint-Philippe,RE,-21.36,55.77,68.0,77,20,8.05,few clouds,0.0,0
199,Along,IN,28.17,94.77,73.58,90,100,0.69,moderate rain,3.51,0
200,Sitka,US,57.05,-135.33,55.4,87,75,9.17,light rain,0.51,0
201,Hasaki,JP,35.73,140.83,77.0,88,75,8.05,broken clouds,0.0,0
202,Biak,ID,-0.91,122.88,75.49,83,95,6.93,overcast clouds,0.0,0
203,Saint George,US,37.1,-113.58,100.99,15,1,3.36,clear sky,0.0,0
204,Touros,BR,-5.2,-35.46,73.4,100,90,8.05,light rain,0.0,0
205,Salvador,SV,13.83,-88.92,89.6,54,40,6.93,scattered clouds,0.0,0
206,Nizhniy Odes,RU,63.64,54.86,60.13,57,64,3.87,broken clouds,0.0,0
207,Coihaique,CL,-45.58,-72.07,39.2,55,40,6.93,scattered clouds,0.0,0
208,Qaanaaq,GL,77.48,-69.36,45.07,59,74,1.72,broken clouds,0.0,0
209,Ketchikan,US,55.34,-131.65,55.4,93,90,11.41,light rain,0.51,0
210,Laguna,US,38.42,-121.42,91.0,22,5,4.7,clear sky,0.0,0
211,Turayf,SA,31.67,38.66,89.6,29,0,13.87,clear sky,0.0,0
212,Hermanus,ZA,-34.42,19.23,48.0,81,0,11.95,clear sky,0.0,0
213,Sovkhoznyy,RU,45.29,38.11,77.0,65,0,11.18,clear sky,0.0,0
214,Nanguneri,IN,8.49,77.66,80.01,73,100,5.66,overcast clouds,0.0,0
215,Qaqortoq,GL,60.72,-46.03,57.2,71,75,5.82,broken clouds,0.0,0
216,Porto Novo,BJ,6.5,2.6,77.0,94,20,8.05,few clouds,0.0,0
217,Kijang,KR,35.24,129.21,71.6,78,75,11.41,broken clouds,0.0,0
218,Ximei,CN,24.96,118.38,84.2,83,92,8.95,overcast clouds,0.0,0
219,East London,ZA,-33.02,27.91,56.84,63,92,21.74,light rain,0.2,0
220,Birjand,IR,32.87,59.22,77.0,25,0,13.87,clear sky,0.0,0
221,Marawi,PH,8.0,124.29,75.99,91,100,3.0,overcast clouds,0.0,0
222,Xingcheng,CN,40.62,120.72,69.26,77,86,0.83,overcast clouds,0.0,0
223,Lompoc,US,34.64,-120.46,75.99,60,0,12.75,clear sky,0.0,0
224,Jamestown,US,42.1,-79.24,69.01,93,90,23.04,heavy intensity rain,4.06,0
