City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
158,Chupa,RU,66.27,33.05,51.62,82,4,4.36,clear sky,0.0,0
159,Pacific Grove,US,36.62,-121.92,81.0,68,1,9.17,clear sky,0.0,0
160,Lebu,CL,-37.62,-73.65,50.38,87,100,4.7,overcast clouds,0.0,0
161,Vestmannaeyjar,IS,63.44,-20.27,50.0,93,90,5.82,mist,0.0,0
162,Flin Flon,CA,54.77,-101.86,73.4,60,90,6.93,overcast clouds,0.0,0
163,Fortuna,US,40.6,-124.16,68.0,68,20,17.22,few clouds,0.0,0
164,Rafaela,AR,-31.25,-61.49,64.0,22,99,3.0,overcast clouds,0.0,0
165,Popondetta,PG,-8.75,148.25,72.64,93,100,2.98,overcast clouds,0.0,0
166,Moerai,PF,-22.43,-151.33,74.55,79,100,4.97,light rain,0.18,0
167,Cartagena,CO,10.4,-75.51,86.0,74,40,8.05,scattered clouds,0.0,0
168,Kajaani,FI,64.23,27.73,55.4,87,100,9.17,light intensity shower rain,0.0,0
169,Vagur,FO,61.47,-6.81,52.16,90,100,15.01,overcast clouds,0.0,0
170,Baghdad,IQ,33.34,44.4,96.8,22,0,2.24,clear sky,0.0,0
171,Acarau,BR,-2.89,-40.12,80.35,76,35,13.47,light rain,0.15,0
172,Saint-Honore,CA,48.53,-71.08,71.6,83,90,18.34,light intensity shower rain,0.0,0
173,Nuevo Progreso,MX,23.17,-97.95,98.01,45,11,10.0,few clouds,0.0,0
174,Ribeira Grande,PT,38.52,-28.7,73.4,73,20,14.99,few clouds,0.0,0
175,Cidreira,BR,-30.18,-50.21,58.86,94,100,12.15,light rain,0.44,0
176,Lashio,MM,22.93,97.75,68.86,100,100,1.43,light rain,0.62,0
177,Yumen,CN,40.28,97.2,73.76,24,98,6.64,overcast clouds,0.0,0
178,Longyearbyen,SJ,78.22,15.64,46.4,81,75,3.36,broken clouds,0.0,0
179,Seminole,US,28.71,-81.21,97.0,44,20,5.82,few clouds,0.0,0
180,Santa Barbara,US,34.42,-119.7,93.99,68,1,5.82,clear sky,0.0,0
181,Saint-Philippe,RE,-21.36,55.77,66.2,72,9,6.93,light rain,0.52,0
182,Porbandar,IN,21.64,69.61,83.57,82,100,17.2,overcast clouds,0.0,0
183,Nicoya,CR,10.15,-85.45,87.8,66,40,11.41,scattered clouds,0.0,0
184,Japura,ID,-0.32,102.35,73.81,96,91,2.98,overcast clouds,0.0,0
185,Leningradskiy,RU,69.38,178.42,42.57,72,0,10.11,clear sky,0.0,0
186,Pochutla,MX,15.74,-96.47,89.01,70,75,9.17,broken clouds,0.0,0
187,Isla Vista,US,34.41,-119.86,95.0,68,1,5.82,clear sky,0.0,0
188,Molina,CL,-35.12,-71.28,60.01,51,100,6.93,overcast clouds,0.0,0
189,Mattru,SL,7.62,-11.83,73.08,92,100,3.62,overcast clouds,0.0,0
190,Coihaique,CL,-45.58,-72.07,41.0,56,40,4.7,scattered clouds,0.0,0
191,Lagunas,PE,-5.23,-75.68,87.13,58,66,2.26,broken clouds,0.0,0
192,Yulara,AU,-25.24,130.99,37.4,74,0,4.7,clear sky,0.0,0
193,Westport,US,41.14,-73.36,88.0,51,40,14.99,scattered clouds,0.0,0
194,Kangaatsiaq,GL,68.31,-53.46,42.94,81,0,14.05,clear sky,0.0,0
195,Guerrero Negro,MX,27.98,-114.06,85.26,32,0,17.47,clear sky,0.0,0
196,Pisco,PE,-13.7,-76.22,64.99,77,48,10.29,scattered clouds,0.0,0
197,Malindi,KE,-3.22,40.12,78.8,74,20,11.41,few clouds,0.0,0
198,Harindanga,IN,22.04,88.32,78.8,100,90,4.7,thunderstorm with light rain,0.0,0
199,Trincomalee,LK,8.57,81.23,81.64,76,99,19.04,overcast clouds,0.0,0
200,Pilar,BR,-9.6,-35.96,78.8,69,40,10.29,scattered clouds,0.0,0
