City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
214,214,Sao Miguel Do Araguaia,BR,-13.28,-50.16,80.87,39,0,3.69,clear sky,0.0,0
215,215,Stranda,NO,62.31,6.94,53.01,91,98,2.53,light rain,0.18,0
216,216,Komsomolskiy,UZ,40.43,71.72,69.8,64,90,9.17,thunderstorm with light rain,0.0,0
217,217,Seddon,AU,-37.81,144.89,50.0,87,90,4.7,overcast clouds,0.0,0
218,218,Waipawa,NZ,-41.41,175.52,48.2,81,0,11.41,clear sky,0.0,0
219,219,Richards Bay,ZA,-28.78,32.04,75.09,42,0,12.44,clear sky,0.0,0
220,220,Chesma,RU,53.81,60.65,72.12,69,0,5.79,clear sky,0.0,0
221,221,Tahta,EG,26.77,31.5,82.63,26,0,4.36,clear sky,0.0,0
222,222,Emba,KZ,48.83,58.14,80.17,39,0,6.06,clear sky,0.0,0
223,223,Morant Bay,JM,17.88,-76.41,88.0,70,20,27.51,few clouds,0.0,0
224,224,Lumeje,AO,-11.55,20.78,64.4,36,0,2.77,clear sky,0.0,0
225,225,Hithadhoo,MV,-0.6,73.08,83.5,75,97,9.78,overcast clouds,0.0,0
226,226,Xai-Xai,MZ,-25.05,33.64,70.79,59,0,14.76,clear sky,0.0,0
227,227,Obidos,BR,-1.92,-55.52,82.67,76,98,3.78,light rain,0.27,0
228,228,Jilin,CN,43.0,126.0,63.37,82,100,4.34,overcast clouds,0.0,0
229,229,Severo-Kurilsk,RU,50.68,156.12,50.0,92,100,4.65,light rain,0.21,0
230,230,Faanui,PF,-16.48,-151.75,77.95,81,33,21.56,scattered clouds,0.0,0
231,231,Sfantu Gheorghe,RO,45.87,25.78,64.0,73,0,3.31,clear sky,0.0,0
232,232,Port Elizabeth,ZA,-33.92,25.57,59.0,87,90,5.82,light rain,0.53,0
233,233,Kununurra,AU,-15.77,128.73,60.8,41,18,10.83,few clouds,0.0,0
234,234,Pacific Grove,US,36.62,-121.92,71.6,68,40,9.17,scattered clouds,0.0,0
235,235,Ginda,IN,30.69,78.49,64.27,77,0,3.47,clear sky,0.0,0
236,236,Kangaatsiaq,GL,68.31,-53.46,40.5,90,69,9.33,broken clouds,0.0,0
237,237,Olinda,BR,-8.01,-34.86,80.6,74,75,12.75,broken clouds,0.0,0
238,238,Hay River,CA,60.82,-115.8,66.2,77,75,5.82,broken clouds,0.0,0
239,239,Lebu,CL,-37.62,-73.65,49.71,69,65,4.72,broken clouds,0.0,0
240,240,Saint-Pierre,RE,-21.34,55.48,68.0,68,4,9.17,clear sky,0.0,0
241,241,Los Llanos De Aridane,ES,28.66,-17.92,71.6,83,40,19.46,scattered clouds,0.0,0
242,242,Salalah,OM,17.02,54.09,82.4,94,90,8.05,overcast clouds,0.0,0
243,243,Visby,SE,57.64,18.3,55.99,93,100,9.17,light rain,0.0,0
244,244,Kryvyy Rih,UA,47.92,33.35,68.0,60,0,4.47,clear sky,0.0,0
245,245,Tutayev,RU,57.89,39.54,55.4,82,56,4.56,broken clouds,0.0,0
246,246,Roela,EE,59.17,26.59,53.38,99,79,4.52,broken clouds,0.0,0
247,247,Moba,CN,33.23,105.02,57.97,100,100,3.22,overcast clouds,0.0,0
248,248,Ambilobe,MG,-13.2,49.05,67.95,72,47,5.5,scattered clouds,0.0,0
249,249,Byron Bay,AU,-28.65,153.62,54.0,100,90,1.12,overcast clouds,0.0,0
250,250,Manokwari,ID,-0.87,134.08,78.6,67,4,4.52,clear sky,0.0,0
251,251,Kavieng,PG,-2.57,150.8,82.62,76,97,11.79,overcast clouds,0.0,0
252,252,Ostrovnoy,RU,68.05,39.51,54.27,73,0,13.18,clear sky,0.0,0
253,253,Tiznit,MA,29.58,-9.5,78.49,40,0,1.79,clear sky,0.0,0
254,254,Black Forest,US,39.01,-104.7,89.01,10,1,6.93,clear sky,0.0,0
255,255,San Luis,AR,-33.3,-66.34,53.24,51,19,21.61,few clouds,0.0,0
256,256,Inhambane,MZ,-23.86,35.38,69.15,85,0,12.17,clear sky,0.0,0
257,257,Mwinilunga,ZM,-11.74,24.43,59.32,45,4,2.64,clear sky,0.0,0
258,258,Porto Novo,BJ,6.5,2.6,78.8,88,20,9.17,few clouds,0.0,0
259,259,Tautira,PF,-17.73,-149.15,82.4,58,20,11.41,few clouds,0.0,0
260,260,Hanzhong,CN,33.07,107.03,69.44,91,100,5.79,moderate rain,3.11,0
261,261,Touros,BR,-5.2,-35.46,80.6,78,20,9.17,few clouds,0.0,0
262,262,Nelson Bay,AU,-32.72,152.15,55.0,100,90,6.93,overcast clouds,0.0,0
263,263,Dalbandin,PK,28.89,64.41,82.92,14,0,6.13,clear sky,0.0,0
264,264,Saint George,US,37.1,-113.58,104.0,7,1,6.93,clear sky,0.0,0
265,265,Helena,US,46.59,-112.04,75.0,38,1,16.11,clear sky,0.0,0
266,266,Port Blair,IN,11.67,92.75,81.79,80,100,8.95,overcast clouds,0.0,0
267,267,Gulbarga,IN,17.33,76.83,76.69,83,100,13.22,light rain,0.52,0
